,Date,USD,EUR,BRL,CAD,HKD,PHP,DKK,HUF,CZK,GBP,RON,SEK,IDR,INR,RUB,HRK,JPY,THB,CHF,MYR,BGN,TRY,CNY,NOK,NZD,ZAR,MXN,SGD,AUD,ILS,KRW,PLN,ISK
2333,2019-02-12,1.0,0.8852691218,3.7192811615,1.3251593484,7.8484419263,52.1051699717,6.6061437677,281.329674221,22.9027974504,0.7764252833,4.1974150142,9.2709808782,14068.5021246459,70.6453611898,65.5424929178,6.5580736544,110.3930594901,31.2995750708,1.0075247875,4.0773725212,1.7314093484,5.2554001416,6.7702726629,8.6712110482,1.4843307365,13.7677939093,19.2452195467,1.3574716714,1.4098796034,3.6395184136,1123.6101274788,3.8295856941,120.9277620397
2334,2019-02-13,1.0,0.8845643521,3.7295886776,1.3243697479,7.8485625829,52.1618752764,6.6004422822,281.494913755,22.8173374613,0.7744626272,4.1957540911,9.2068111455,14068.4652808492,70.8235294118,65.7530296329,6.5497567448,110.738611234,31.3303847855,1.0058381247,4.0669615215,1.7300309598,5.2528084918,6.7646174259,8.6342326404,1.4680229987,13.875807165,19.3530296329,1.3568332596,1.4064573198,3.6392746572,1123.3967271119,3.8288367979,120.5661211853
2335,2019-02-14,1.0,0.8874689386,3.7897586084,1.3266773163,7.8475328364,52.3535676251,6.6218494853,283.164714235,22.8878239262,0.780484558,4.2100638978,9.298455804,14089.9982250621,71.1776712815,66.9614838481,6.5728611999,111.040113596,31.3551650692,1.0090521832,4.0759673411,1.7357117501,5.3170039049,6.7755591054,8.6603656372,1.4632587859,14.1700390486,19.4471955982,1.358714945,1.4064607739,3.6640042599,1127.4316648917,3.8500177494,119.7195598154
2336,2019-02-15,1.0,0.8880994671,3.7168738899,1.3285079929,7.8481349911,52.4298401421,6.6262877442,282.6021314387,22.8321492007,0.7809769094,4.2102131439,9.3084369449,14142.5044404973,71.3685612789,66.679928952,6.5790408526,110.5239786856,31.269982238,1.0071047957,4.084991119,1.7369449378,5.268383659,6.7705150977,8.6758436945,1.4593250444,14.1217584369,19.3294849023,1.3581705151,1.4063943162,3.6353463588,1127.2824156306,3.8460923623,119.2717584369
2337,2019-02-18,1.0,0.8827683616,3.7264300847,1.3234463277,7.8477224576,52.3702330508,6.5872175141,280.7291666667,22.7003884181,0.7734816384,4.1847634181,9.2412605932,14106.4971751412,71.401394774,66.1318855932,6.5435204802,110.5490819209,31.2199858757,1.0029131356,4.0855402542,1.7265183616,5.3035840395,6.7652718927,8.6076977401,1.454184322,14.1016066384,19.2491172316,1.3556673729,1.3969809322,3.619615113,1125.803319209,3.821680791,119.0854519774
2338,2019-02-19,1.0,0.8854258899,3.7222418984,1.3246856738,7.848769258,52.2135647246,6.6069594475,281.9727288826,22.7704976094,0.7719585621,4.2050646361,9.3855144324,14102.0010625111,71.4525411723,66.1916947052,6.5636621215,110.7579245617,31.2103771914,1.0050469276,4.086594652,1.7317159554,5.3087480078,6.7662475651,8.6293607225,1.4652913051,14.1668142376,19.2176376837,1.3568266336,1.4061448557,3.631839915,1127.5898707278,3.8380556047,120.1522932531
2339,2019-02-20,1.0,0.8816787163,3.7047257979,1.3186386881,7.8492329395,52.0216892964,6.5785575736,279.7831070358,22.6406277552,0.7665755599,4.1938811497,9.3196085346,14040.0017633574,71.154558279,65.7533062952,6.5363251631,110.7476635514,31.0950449656,1.0,4.0718568154,1.7243872333,5.3068241933,6.7222712044,8.5818197849,1.4559160642,14.138070887,19.1589666725,1.3512608006,1.3969317581,3.6152354082,1122.7913948157,3.8304531829,119.6438017986
2340,2019-02-21,1.0,0.8807468733,3.7410604192,1.3168046503,7.8472784922,52.1340496741,6.5720450942,279.4081381011,22.5893958076,0.7645323234,4.1892725031,9.3524748987,14073.0139158006,71.1145851682,65.4865245728,6.5311784393,110.7098819799,31.1696318478,1.0011449709,4.0796195174,1.7225647349,5.3234102519,6.7178967765,8.6144090188,1.4662673948,13.9632728554,19.2148141624,1.3521226,1.4064646821,3.6154659151,1125.2510128589,3.8176853972,119.5173507134
2341,2019-02-22,1.0,0.8830022075,3.7432229581,1.322384106,7.8484768212,52.1430463576,6.5889624724,280.821192053,22.66401766,0.7705342163,4.2040618102,9.3596467991,14057.3951434879,71.1284768212,65.4917439294,6.5545253863,110.8697571744,31.340397351,1.0018543046,4.0771743929,1.7269757174,5.3313907285,6.7204415011,8.6218984547,1.4692273731,14.0050331126,19.2326710817,1.3531125828,1.406004415,3.6179249448,1124.238410596,3.829580574,119.8233995585
2342,2019-02-25,1.0,0.8806693087,3.7271686482,1.3143108763,7.8487010128,51.8767062968,6.5711140467,279.7181858212,22.5918097754,0.7646675473,4.1957727873,9.3168648173,14017.6133861735,70.9216204315,65.3904007045,6.5424922941,110.7441655658,31.275209159,0.9996477323,4.067459269,1.7224130339,5.3122853369,6.6888595332,8.5970937913,1.4504623514,13.8778511669,19.0597974461,1.3492734478,1.3941875826,3.6073095553,1117.7366798767,3.8185821224,119.5068251871
